mag_alias	assembly_analysis_accession
DOGMAG_ANI95_MAG001	ERZ29813345
DOGMAG_ANI95_MAG002	ERZ29813346
DOGMAG_ANI95_MAG003	ERZ29813347
DOGMAG_ANI95_MAG004	ERZ29813348
DOGMAG_ANI95_MAG005	ERZ29813349
DOGMAG_ANI95_MAG006	ERZ29813350
DOGMAG_ANI95_MAG007	ERZ29813351
DOGMAG_ANI95_MAG008	ERZ29813352
DOGMAG_ANI95_MAG009	ERZ29813353
DOGMAG_ANI95_MAG010	ERZ29813354
DOGMAG_ANI95_MAG011	ERZ29813355
DOGMAG_ANI95_MAG012	ERZ29813356
DOGMAG_ANI95_MAG013	ERZ29813357
DOGMAG_ANI95_MAG014	ERZ29813358
DOGMAG_ANI95_MAG015	ERZ29813359
DOGMAG_ANI95_MAG016	ERZ29813360
DOGMAG_ANI95_MAG017	ERZ29813361
DOGMAG_ANI95_MAG018	ERZ29813362
DOGMAG_ANI95_MAG019	ERZ29813363
DOGMAG_ANI95_MAG020	ERZ29813364
DOGMAG_ANI95_MAG021	ERZ29813365
DOGMAG_ANI95_MAG022	ERZ29813366
DOGMAG_ANI95_MAG023	ERZ29813367
DOGMAG_ANI95_MAG024	ERZ29813368
DOGMAG_ANI95_MAG025	ERZ29813369
DOGMAG_ANI95_MAG026	ERZ29813370
DOGMAG_ANI95_MAG028	ERZ29813371
DOGMAG_ANI95_MAG029	ERZ29813372
DOGMAG_ANI95_MAG031	ERZ29813373
DOGMAG_ANI95_MAG034	ERZ29813374
DOGMAG_ANI95_MAG035	ERZ29813375
DOGMAG_ANI95_MAG036	ERZ29813376
DOGMAG_ANI95_MAG037	ERZ29813377
DOGMAG_ANI95_MAG038	ERZ29813467
DOGMAG_ANI95_MAG039	ERZ29813471
DOGMAG_ANI95_MAG040	ERZ29813472
DOGMAG_ANI95_MAG041	ERZ29813473
DOGMAG_ANI95_MAG042	ERZ29813474
DOGMAG_ANI95_MAG043	ERZ29813475
DOGMAG_ANI95_MAG045	ERZ29813476
DOGMAG_ANI95_MAG046	ERZ29813477
DOGMAG_ANI95_MAG047	ERZ29813478
DOGMAG_ANI95_MAG048	ERZ29813479
DOGMAG_ANI95_MAG052	ERZ29813480
DOGMAG_ANI95_MAG053	ERZ29813481
DOGMAG_ANI95_MAG054	ERZ29813482
DOGMAG_ANI95_MAG055	ERZ29813483
DOGMAG_ANI95_MAG056	ERZ29813484
DOGMAG_ANI95_MAG057	ERZ29813485
DOGMAG_ANI95_MAG058	ERZ29813486
DOGMAG_ANI95_MAG059	ERZ29813487
DOGMAG_ANI95_MAG060	ERZ29813488
DOGMAG_ANI95_MAG061	ERZ29813489
DOGMAG_ANI95_MAG062	ERZ29813490
DOGMAG_ANI95_MAG063	ERZ29813491
DOGMAG_ANI95_MAG064	ERZ29813492
