mag_sample_alias	sample_accession	biosample_accession	status	holdUntilDate
DOGMAG_ANI95_MAG001	ERS31049448	SAMEA123300624	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG002	ERS31049449	SAMEA123300625	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG003	ERS31049450	SAMEA123300626	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG004	ERS31049451	SAMEA123300627	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG005	ERS31049452	SAMEA123300628	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG006	ERS31049453	SAMEA123300629	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG007	ERS31049454	SAMEA123300630	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG008	ERS31049455	SAMEA123300631	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG009	ERS31049456	SAMEA123300632	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG010	ERS31049457	SAMEA123300633	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG011	ERS31049458	SAMEA123300634	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG012	ERS31049459	SAMEA123300635	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG013	ERS31049460	SAMEA123300636	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG014	ERS31049461	SAMEA123300637	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG015	ERS31049462	SAMEA123300638	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG016	ERS31049463	SAMEA123300639	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG017	ERS31049464	SAMEA123300640	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG018	ERS31049465	SAMEA123300641	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG019	ERS31049466	SAMEA123300642	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG020	ERS31049467	SAMEA123300643	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG021	ERS31049468	SAMEA123300644	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG022	ERS31049469	SAMEA123300645	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG023	ERS31049470	SAMEA123300646	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG024	ERS31049471	SAMEA123300647	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG025	ERS31049472	SAMEA123300648	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG026	ERS31049473	SAMEA123300649	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG027	ERS31049474	SAMEA123300650	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG028	ERS31049475	SAMEA123300651	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG029	ERS31049476	SAMEA123300652	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG030	ERS31049477	SAMEA123300653	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG031	ERS31049478	SAMEA123300654	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG032	ERS31049479	SAMEA123300655	PRIVATE	2028-06-26+01:00
