stable_viral_candidate_id	viral_candidate_branch	seq_name	context_original_contig_id	context_assembly_id	context_assembly_path	context_length	context_sequence_md5	context_basalt_match_method	context_basalt_status	context_basalt_bins	context_basalt_runs	context_basalt_assemblies	context_max_completeness	context_min_contamination	genomad_length	genomad_topology	genomad_coordinates	genomad_n_genes	genomad_genetic_code	genomad_virus_score	genomad_fdr	genomad_n_hallmarks	genomad_marker_enrichment	genomad_taxonomy	checkv_contig_length	checkv_provirus	checkv_proviral_length	checkv_gene_count	checkv_viral_genes	checkv_host_genes	checkv_checkv_quality	checkv_miuvig_quality	checkv_completeness	checkv_completeness_method	checkv_contamination	checkv_kmer_freq	checkv_warnings
DOGMAG_VIR000001	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_1005	contig_1005	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	31413	340fc95b4d23a145bd5abbafa2fb28c0		unbinned						31413	No terminal repeats	NA	65	11	0.9339	NA	14	37.3093	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	31413	No	NA	65	23	0	High-quality	High-quality	93.9	AAI-based (high-confidence)	0.0	1.0	
DOGMAG_VIR000002	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_100|provirus_595_48667	contig_100	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	2537618	0fddef0b267efd6f602ade5fc3f07a17		unbinned						48073	Provirus	595-48667	61	11	0.9236	NA	8	18.5837	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	48073	No	NA	90	9	0	Medium-quality	Genome-fragment	65.63	HMM-based (lower-bound)	0.0	1.01	
DOGMAG_VIR000003	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_1048	contig_1048	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	44983	349f44e93bced60f46dfe4ef4e131016		unbinned						44983	No terminal repeats	NA	99	11	0.9363	NA	5	15.0102	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	44983	No	NA	99	16	0	Medium-quality	Genome-fragment	68.23	HMM-based (lower-bound)	0.0	1.0	
DOGMAG_VIR000004	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_1181	contig_1181	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	71845	f625aa0fdd41521cb573ef9b55b953e2		unbinned						71845	No terminal repeats	NA	114	11	0.8638	NA	5	21.2360	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	71845	No	NA	114	10	17	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	contig >1.5x longer than expected genome length
DOGMAG_VIR000005	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_1229	contig_1229	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	60843	ec61420b0fd63931651957305dd5765a		unbinned						60843	No terminal repeats	NA	125	11	0.8983	NA	1	19.0300	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	60843	No	NA	125	10	16	Medium-quality	Genome-fragment	61.29	HMM-based (lower-bound)	0.0	1.0	
DOGMAG_VIR000006	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_129|provirus_1_48572	contig_129	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	183050	6be0fd0ae05936adf9739988a4da4b41		unbinned						48572	Provirus	1-48572	69	11	0.9345	NA	0	22.6415	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	48572	No	NA	83	4	0	Medium-quality	Genome-fragment	53.4	HMM-based (lower-bound)	0.0	1.0	
DOGMAG_VIR000007	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_1339	contig_1339	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	47063	9e71b01f4631317cbe7e8ae3dd82edaf		unbinned						47063	No terminal repeats	NA	103	11	0.8875	NA	1	11.9114	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	47063	Yes	46424	103	5	3	Medium-quality	Genome-fragment	51.77	HMM-based (lower-bound)	1.36	1.0	
DOGMAG_VIR000008	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_1362	contig_1362	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	39065	fc1b913e4e77390ff87562752773ddbf		unbinned						39065	No terminal repeats	NA	79	11	0.9510	NA	5	20.6049	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	39065	No	NA	79	7	0	Medium-quality	Genome-fragment	71.37	AAI-based (medium-confidence)	0.0	1.0	
DOGMAG_VIR000009	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_1511	contig_1511	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	102106	b4792f3b1fb42b82b618846b99372710		unbinned						102106	No terminal repeats	NA	187	11	0.9816	NA	8	141.6540	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;	102106	No	NA	187	17	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
DOGMAG_VIR000010	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_1575	contig_1575	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	40230	f50f5cfe26bb39ff384fb96a76240103		unbinned						40230	No terminal repeats	NA	80	11	0.9253	NA	1	11.3961	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	40230	No	NA	80	3	3	Medium-quality	Genome-fragment	58.61	HMM-based (lower-bound)	0.0	1.0	
DOGMAG_VIR000011	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_1613	contig_1613	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	34184	8ab502eb13aeda9ad2818dbfb5c9fabc		unbinned						34184	No terminal repeats	NA	72	11	0.9781	NA	3	17.3543	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	34184	No	NA	72	21	0	Medium-quality	Genome-fragment	53.68	HMM-based (lower-bound)	0.0	1.0	
DOGMAG_VIR000012	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_1672	contig_1672	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	64672	0c42767eddefabe9da62a84be753d085		unbinned						64672	No terminal repeats	NA	120	11	0.9745	NA	12	56.8986	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	64672	No	NA	120	16	2	Medium-quality	Genome-fragment	87.42	HMM-based (lower-bound)	0.0	1.23	
DOGMAG_VIR000013	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_1685	contig_1685	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	154066	d8d6525218360558d876a98782895a88		unbinned						154066	No terminal repeats	NA	221	11	0.9779	NA	11	84.4007	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	154066	No	NA	221	48	1	High-quality	High-quality	99.73	AAI-based (high-confidence)	0.0	1.0	
DOGMAG_VIR000014	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_1701	contig_1701	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	36351	60347296e057da7c44d6da0554a4d8c7		unbinned						36351	No terminal repeats	NA	71	11	0.9699	NA	16	49.0698	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	36351	No	NA	71	20	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.02	
DOGMAG_VIR000015	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_1739	contig_1739	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	57041	ffd99000d33416a57f009e95b386d2c2		unbinned						57041	No terminal repeats	NA	120	11	0.9472	NA	15	44.1100	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	57041	No	NA	120	11	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.19	contig >1.5x longer than expected genome length
DOGMAG_VIR000016	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_176|provirus_1145536_1188101	contig_176	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	1342220	7566ca68c5d2e751da62d61115c68e99		unbinned						42566	Provirus	1145536-1188101	91	11	0.9767	NA	16	73.9581	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	42566	Yes	39756	91	27	4	High-quality	High-quality	93.71	AAI-based (high-confidence)	6.6	1.0	
DOGMAG_VIR000017	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_176|provirus_373644_431824	contig_176	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	1342220	7566ca68c5d2e751da62d61115c68e99		unbinned						58181	Provirus	373644-431824	101	11	0.9701	NA	20	87.7037	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	58181	Yes	55247	101	30	3	Medium-quality	Genome-fragment	84.29	AAI-based (high-confidence)	5.04	1.0	
DOGMAG_VIR000018	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_176|provirus_701199_764223	contig_176	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	1342220	7566ca68c5d2e751da62d61115c68e99		unbinned						63025	Provirus	701199-764223	129	11	0.9471	NA	16	72.5171	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	63025	No	NA	129	30	3	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
DOGMAG_VIR000019	unbinned/free-virus	lr_flye_meta_dogfirst_ajsa__contig_1900	contig_1900	lr_flye_meta_dogfirst_ajsa	assemblies/lr_flye_meta_dogfirst_ajsa.fasta	120308	ede289389db0edd8f9ff58bf87ec5c87		unbinned						120308	No terminal repeats	NA	195	11	0.9516	NA	13	80.5623	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	120308	No	NA	195	27	2	Medium-quality	Genome-fragment	88.65	AAI-based (high-confidence)	0.0	1.0	
