primary_assembly_id	primary_metagenome_analysis_accession	submission_status	coassembly_sample_accession	coverage	coverage_source	basalt_depth_table	match_status
DOGMAG_ASM001	ERZ29880033	PASS	ERS31153171	171.38	BASALT length-weighted total average depth	1_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM002	ERZ29880034	PASS	ERS31153172	149.53	BASALT length-weighted total average depth	2_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM003	ERZ29880035	PASS	ERS31153173	107.19	BASALT length-weighted total average depth	3_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM004	ERZ29880036	PASS	ERS31153174	83.59	BASALT length-weighted total average depth	4_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM005	ERZ29880037	PASS	ERS31153175	142.15	BASALT length-weighted total average depth	5_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM006	ERZ29880038	PASS	ERS31153176	162.37	BASALT length-weighted total average depth	6_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM007	ERZ29880039	PASS	ERS31153177	137.39	BASALT length-weighted total average depth	7_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM008	ERZ29880040	PASS	ERS31153178	134.59	BASALT length-weighted total average depth	8_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM009	ERZ29880041	PASS	ERS31153179	138.09	BASALT length-weighted total average depth	9_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM010	ERZ29880042	PASS	ERS31153180	164.49	BASALT length-weighted total average depth	10_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM011	ERZ29880043	PASS	ERS31153181	147.26	BASALT length-weighted total average depth	11_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM012	ERZ29880044	PASS	ERS31153182	152.19	BASALT length-weighted total average depth	12_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM013	ERZ29880045	PASS	ERS31153183	125.90	BASALT length-weighted total average depth	13_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM014	ERZ29880046	PASS	ERS31153184	110.08	BASALT length-weighted total average depth	14_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM015	ERZ29880047	PASS	ERS31153185	144.41	BASALT length-weighted total average depth	15_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM016	ERZ29880048	PASS	ERS31153186	100.11	BASALT length-weighted total average depth	16_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM017	ERZ29880049	PASS	ERS31153187	127.34	BASALT length-weighted total average depth	17_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM018	ERZ29880050	PASS	ERS31153188	151.85	BASALT length-weighted total average depth	18_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM019	ERZ29880051	PASS	ERS31153189	105.44	BASALT length-weighted total average depth	19_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM020	ERZ29880052	PASS	ERS31153190	172.77	BASALT length-weighted total average depth	20_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM021	ERZ29880053	PASS	ERS31153191	156.57	BASALT length-weighted total average depth	21_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM022	ERZ29880054	PASS	ERS31153192	204.06	BASALT length-weighted total average depth	22_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM023	ERZ29880055	PASS	ERS31153193	119.50	BASALT length-weighted total average depth	23_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM024	ERZ29880056	PASS	ERS31153194	114.62	BASALT length-weighted total average depth	24_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM025	ERZ29880057	PASS	ERS31153195	214.35	BASALT length-weighted total average depth	25_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM026	ERZ29880058	PASS	ERS31153196	127.57	BASALT length-weighted total average depth	26_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM027	ERZ29880059	PASS	ERS31153197	106.36	BASALT length-weighted total average depth	27_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM028	ERZ29880060	PASS	ERS31153198	112.22	BASALT length-weighted total average depth	28_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM029	ERZ29880061	PASS	ERS31153199	172.93	BASALT length-weighted total average depth	29_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM030	ERZ29880062	PASS	ERS31153200	110.98	BASALT length-weighted total average depth	30_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM031	ERZ29880063	PASS	ERS31153201	132.88	BASALT length-weighted total average depth	42_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM032	ERZ29880064	PASS	ERS31153202	208.94	BASALT length-weighted total average depth	43_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM033	ERZ29880065	PASS	ERS31153203	189.18	BASALT length-weighted total average depth	44_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM034	ERZ29880066	PASS	ERS31153204	162.50	BASALT length-weighted total average depth	45_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM035	ERZ29880067	PASS	ERS31153205	158.77	BASALT length-weighted total average depth	46_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM036	ERZ29880068	PASS	ERS31153206	157.12	BASALT length-weighted total average depth	47_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM037	ERZ29880069	PASS	ERS31153207	175.29	BASALT length-weighted total average depth	48_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM038	ERZ29880070	PASS	ERS31153208	177.06	BASALT length-weighted total average depth	49_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM039	ERZ29880071	PASS	ERS31153209	166.59	BASALT length-weighted total average depth	50_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM040	ERZ29880072	PASS	ERS31153210	171.63	BASALT length-weighted total average depth	51_assembly.depth.txt	unique_count_near_length_match
DOGMAG_ASM041	ERZ29880073	PASS	ERS31153211	189.63	BASALT length-weighted total average depth	52_assembly.depth.txt	unique_count_near_length_match
